Date,GS_BETA,BAC_BETA,C_BETA,WFC_BETA,MS_BETA,AXP_BETA,BRK-B_BETA,V_BETA,MA_BETA,JPM_BETA
2013-05-28,0.08746055438078908,0.05944252656966907,0.08361256896866329,0.12155208713221542,0.06327940417982801,0.11390947143460059,0.1581610625056645,0.09240325097464272,0.11433958125467521,0.10583949259925209
2013-05-29,0.08593871258830729,0.058783019407996934,0.08310321770941399,0.1209778451243988,0.06295271301035901,0.11548321691597148,0.15752757424512687,0.09349955207873686,0.11554983158304419,0.10618431733664452
2013-05-30,0.08780791222561138,0.058268883721619986,0.08385930195787963,0.1204090874402706,0.06282172625346602,0.11592324292087494,0.15548171904749739,0.0930255970187253,0.11606163407943329,0.10634089533462146
2013-05-31,0.08734063714881334,0.05798857697227821,0.08373122833732705,0.12103609116326179,0.06109638712540411,0.11545575877086005,0.15373457417582162,0.09369027639761354,0.11976341082888975,0.10616305907973059
2013-06-03,0.0874867501751374,0.05732966006632459,0.08351100286855205,0.12106606947192083,0.06041849241026966,0.11620044215449321,0.15375531720092359,0.09476223905072266,0.11966530972038454,0.10580471688127142
2013-06-04,0.0862990483739024,0.061539381824532384,0.0828787627912907,0.11953974887802388,0.059629827511640685,0.11472347131953756,0.15252949038128122,0.09396916206431852,0.12451284311749576,0.10437826373797686
2013-06-05,0.08604969930710744,0.061684448050477646,0.08224181930159173,0.12063334215943763,0.05944844108299871,0.11408794568477974,0.15067624192400786,0.09520775177200175,0.12640056826725202,0.10356974245034543
2013-06-06,0.08604804867469099,0.06200419516107447,0.08274825194742282,0.11987740724306925,0.05960270198425365,0.11396886152336463,0.15025960725177992,0.09542797934450539,0.12646969507869849,0.10359325179114043
2013-06-07,0.08485190518053531,0.0625369678455344,0.0829025952461973,0.12166768905460114,0.05822967004286691,0.11381847267225781,0.1508417102841505,0.09476083208352014,0.12634539977004758,0.10404475782028891
2013-06-10,0.08455451739346229,0.06247602447904895,0.0828131398924057,0.12244065736823039,0.05843998124297315,0.11450020266406058,0.1505559077670933,0.09359419271162847,0.12617910390622764,0.10444627257486953
2013-06-11,0.09037408183214521,0.06339623141105961,0.08083511699068613,0.1219588346059249,0.05792023791306326,0.11282246314095438,0.14912788599411658,0.09334839590414963,0.12560194934011024,0.10461480286778999
2013-06-12,0.08952521493139866,0.06929556325747191,0.08476548821502863,0.1214363740182227,0.057190584566635304,0.10959003801553205,0.14714606527661356,0.09239685698716998,0.12377141263573158,0.1048824020961957
2013-06-13,0.09020710284412914,0.0689097263729662,0.08370871788720737,0.12076267048068519,0.06403015906086851,0.1107285058630184,0.1448221534694958,0.09238247668425105,0.12080079430623229,0.10364769303114603
2013-06-14,0.09042154711544324,0.06962594370220493,0.0837506702242865,0.11945244910280771,0.06474791233439045,0.10793985973274288,0.1455522848516599,0.0929969079927935,0.12208833403318609,0.10342409091048488
2013-06-17,0.09026901500115449,0.0695724760519259,0.0833452564023959,0.11944227798511037,0.06500787810906504,0.10868324869956944,0.1453085575106144,0.09284048761765087,0.12193771411576905,0.10359308850674452
2013-06-18,0.08974254279529864,0.06956109872920536,0.08423570086985896,0.11950752774343322,0.06474002353312272,0.10845594419370934,0.14535450088234605,0.09275039029158169,0.12236481518338095,0.10328745577806299
2013-06-19,0.09032821010076654,0.06925703178260037,0.08412871378662877,0.11974811779036944,0.0644319879871582,0.1088440822806907,0.1454471732311302,0.09279206518625202,0.12102689635304492,0.10399572150135884
2013-06-20,0.08957420157704549,0.06959253062481714,0.0840787411667871,0.11942448452568484,0.06446127060799561,0.10896624740597191,0.14350099967482324,0.09513564933154856,0.12128264140536582,0.10398323367996029
2013-06-21,0.0906813125579381,0.069067312058641,0.0828468244690449,0.11681522263013858,0.0646276897856161,0.10976863517600532,0.14428935128071183,0.09588021824706355,0.12230647869408064,0.10371695510076005
2013-06-24,0.09093552939950911,0.06937815713272845,0.08259471234744047,0.11456325520940447,0.06577734606627408,0.11000468551608529,0.14413678331417665,0.09639019093363373,0.12223740445286611,0.1039819356278817
2013-06-25,0.09108318053507831,0.06896065598522172,0.08146808089661974,0.11463981041230437,0.06561669576006982,0.1102353786856711,0.14379152704318887,0.09884395037252187,0.12229887535294984,0.10306184495637455
2013-06-26,0.08946950992202174,0.06956676907323776,0.08159446853711674,0.11418877941483817,0.06515246404472322,0.11058433579330708,0.1438823643567745,0.09923473085668987,0.12310495262267661,0.10322162537861435
2013-06-27,0.08948664228709727,0.06918508438056171,0.08165032950678791,0.11377256579446432,0.06527703633384523,0.10999432713590135,0.1447163505581565,0.09926797280653663,0.1231126412261833,0.10353704997046578
2013-06-28,0.08930921756733094,0.0698143969864305,0.08157541012027107,0.11405970152197877,0.06479652752051224,0.11046595586527887,0.1443850960437098,0.09922904734281357,0.12208580055650738,0.10427884647516698
2013-07-01,0.0894911980386501,0.06998072110548392,0.0817085885244841,0.11411669750339276,0.06490444712594447,0.11064955978983891,0.14437667534074353,0.09944737859366284,0.1216410148254119,0.10368371915238742
2013-07-02,0.08873462090247124,0.06945953646521384,0.0810404817227792,0.11374347767511211,0.06447683799592245,0.11435618983581546,0.1435643979518498,0.10168881991440727,0.1210722820120956,0.10186335552433308
2013-07-03,0.0886311413840608,0.06986560233382669,0.08105077742955989,0.11356385035139875,0.06398357132737376,0.11544497999746256,0.14363489972005913,0.10117613397723468,0.12089414578789522,0.10175489769112846
2013-07-05,0.0887744763841762,0.07039575248175758,0.08152725300000174,0.11409387813319476,0.06411487765704356,0.11460730662765557,0.14214223324591332,0.1017544999751465,0.12132448008045227,0.10126524241465826
