Date,Price,High,Low,Open,Volume
,SPY,SPY,SPY,SPY,SPY
2010-01-04,86.0264892578125,86.07203217889666,84.6449646688566,85.29777356387815,118944600
2010-01-05,86.25418853759766,86.29214482342027,85.66210754318801,85.97333287124833,111579900
2010-01-06,86.31489562988281,86.52743688048602,86.10235437927959,86.1706687278386,116074400
2010-01-07,86.67927551269531,86.78554616167942,85.91260372389617,86.15550889176215,131091100
2010-01-08,86.96769714355469,87.00565341721368,86.27693813521233,86.45152309488945,126402800
2010-01-11,87.08915710449219,87.39278414425955,86.7172041355424,87.35483365994591,106375700
2010-01-12,86.2769546508789,86.69444478447501,85.94295791094973,86.51226737692971,163333500
2010-01-13,87.00566864013672,87.24857377663699,86.0568195457895,86.497081124167,161822000
2010-01-14,87.24095916748047,87.40036507981877,86.85382721390815,86.90696251802092,115718800
2010-01-15,86.26175689697266,87.1726495895311,85.9277602070878,87.08915620837439,212283100
2010-01-19,87.33963775634766,87.39277306069954,86.22379057364441,86.24656781092135,139172700
2010-01-20,86.4515380859375,86.87662062632076,85.76077895781471,86.7475785396066,216490200
2010-01-21,84.78914642333984,86.73997978400108,84.68287579601315,86.47430321568434,344859600
2010-01-22,82.89904022216797,84.81950970596257,82.80794863166278,84.40960623566144,345942400
2010-01-25,83.32416534423828,83.80998161741913,83.05090201559334,83.65816222226331,186937500
2010-01-26,82.97496795654297,83.85550284669704,82.77001906525057,82.99773941209587,211168800
2010-01-27,83.36967468261719,83.5594444934446,82.23105581765267,82.8686796022016,271863600
2010-01-28,82.4132308959961,83.688484220533,81.91224162098955,83.64294132043645,316104000
2010-01-29,81.51753234863281,83.34691639372912,81.38849024680799,82.77001445614358,310677600
2010-02-01,82.78519439697266,82.79278681225563,81.60103243073382,82.09443518043868,187865000
2010-02-02,83.78718566894531,83.94659165480182,82.64856652027048,82.93702041104397,216327900
2010-02-03,83.36967468261719,83.86307734903149,83.1267695564107,83.40762516999365,172730700
2010-02-04,80.79639434814453,82.76240675585429,80.78120952054843,82.72445626949377,356715700
2010-02-05,80.96339416503906,81.13038673240598,79.38450796281114,80.88748160831823,493585800
2010-02-08,80.37890625,81.47198229027504,80.31817851635907,81.02412249381746,224166900
2010-02-09,81.38846588134766,82.09440970941792,80.66733722742276,81.32014574763029,337820500
2010-02-10,81.22905731201172,81.67691120779412,80.54588495366107,81.25942117141774,240511500
2010-02-11,82.07923126220703,82.17032285047112,80.65216446062409,81.12279564634994,223591600
2010-02-12,82.01092529296875,82.05646819609626,80.8495349326951,81.21388974034572,304622100
2010-02-16,83.3013687133789,83.38486790765597,81.84393770815078,82.63338095047835,159317500
2010-02-17,83.69609832763672,83.80996139870527,83.30137378677459,83.70368495207596,168845100
2010-02-18,84.18948364257812,84.36406862952397,83.5290826004367,83.55944646584362,193708600
2010-02-19,84.36404418945312,84.69044840887501,83.7719634638305,83.96932563614253,222684900
2010-02-22,84.37922668457031,84.69803848321206,84.12872921793179,84.67526703921098,132346900
2010-02-23,83.35447692871094,84.40959644998722,83.13434328732978,84.15151232711463,207497000
2010-02-24,84.12118530273438,84.25781983682513,83.39246971802254,83.60501103964891,176350700
2010-02-25,84.00730895996094,84.06803669692641,82.69410494814802,82.92182527479494,259634700
2010-02-26,84.06044006347656,84.34889390392891,83.58222218933281,84.08321151586692,173589300
2010-03-01,84.9333724975586,85.01687167411515,84.3868345387575,84.40960598848841,147709700
2010-03-02,85.1686782836914,85.57858171950579,85.01686477027023,85.29772614054517,160992400
2010-03-03,85.24459075927734,85.75317239925188,85.03204373282827,85.38881185951062,150785000
2010-03-04,85.5027084350586,85.6241639263939,85.03966950914672,85.35848148692705,135770400
2010-03-05,86.72478485107422,86.79309918841294,85.85184275120326,86.056797345847,176118800
2010-03-08,86.73999786376953,86.92976770802426,86.58818430489217,86.7324112397469,114631200
2010-03-09,86.88422393798828,87.2865350772126,86.43636988981508,86.48191279876394,154556700
2010-03-10,87.27132415771484,87.50663682307875,86.84624171929904,86.92214847025703,186088800
2010-03-11,87.63569641113281,87.65847365315949,86.80071040092095,87.06638697808177,160791100
2010-03-12,87.64329528808594,88.03042735267654,87.40039014372458,88.01524252353902,162074800
2010-03-15,87.66604614257812,87.72677386222882,86.99046618757785,87.49146118772498,146816800
2010-03-16,88.36443328857422,88.44792669225282,87.66607585849913,87.9089810281247,168673000
2010-03-17,88.88819885253906,89.1766527383505,88.37202461569986,88.63011462977765,177468100
2010-03-18,88.84265899658203,89.01724402591034,88.48589073058515,88.89579432611455,196509100
2010-03-19,88.3929214477539,89.3990318910366,88.04992568278472,88.3929214477539,226641100
2010-03-22,88.86551666259766,89.02558489929557,87.83654062979285,87.88989477030375,184477800
2010-03-23,89.49051666259766,89.56673602070552,88.70544041011026,88.99508211215013,182941600
2010-03-24,89.05606079101562,89.50576492337058,88.09568633950823,89.155151197638,196072600
2010-03-25,88.9112319946289,90.06978126505264,88.80452373874108,89.65818978584369,223396300
2010-03-26,88.8578872680664,89.49813687113333,88.50727355945865,89.07892748298173,205808500
2010-03-29,89.4218978881836,89.58196025382605,88.94171079125623,89.30756596553523,134513500
2010-03-30,89.4828872680664,89.8106357206488,89.10940836657238,89.52861771697803,145772500
2010-03-31,89.17802429199219,89.57436850795057,88.8807646762321,89.13991169913466,161078700
2010-04-01,89.78778839111328,90.13077845663699,89.25424118176353,89.78778839111328,161215200
2010-04-05,90.5195083618164,90.58048036986477,89.8792528484037,90.13078200778602,105847600
2010-04-06,90.73291015625,90.89297255475311,90.1612562408113,90.26034082602818,110384200
2010-04-07,90.21461486816406,90.97682012672227,89.79539964989118,90.54998704278236,184576300
2010-04-08,90.527099609375,90.67954412258369,89.63532101396757,89.9020916431283,158704000
