Date,AAPL_BETA,MSFT_BETA,NVDA_BETA,GOOGL_BETA,INTC_BETA,CSCO_BETA,TXN_BETA,IBM_BETA,ORCL_BETA,QCOM_BETA,AMZN_BETA,TSLA_BETA,META_BETA,SUM_BETA
2013-05-28,0.08492402744148832,0.23100756006600892,0.22879286341446506,0.27647328333984583,0.24848572167987976,0.12093159993842242,0.36987739630960625,0.19686666312269838,0.2523496425449477,0.2532247915213044,0.15389507456201634,0.023016292064588568,0.0705241007296867,2.5103690167349586
2013-05-29,0.0824962555355041,0.23390195985106235,0.23086520680779624,0.27939866840305894,0.24425786489009815,0.11916393145940768,0.37335443560821463,0.1959878384704498,0.253145694826262,0.2519801273510818,0.15579693152957794,0.024540991970595973,0.07376409038368542,2.518653997086795
2013-05-30,0.08588001942285771,0.24606858174552762,0.23717442644763634,0.2816298774997664,0.2463263174113232,0.11958859360606651,0.373859021293931,0.1985305350268846,0.2525622552796076,0.26012063908659316,0.1558440486812291,0.024821812125375906,0.07171606688191563,2.5541221945087145
2013-05-31,0.08648859202369288,0.25148817657369654,0.24996446625811378,0.2819308527225828,0.24584895207727145,0.12427171620075425,0.38453099807757557,0.2040138358451733,0.26035968348613187,0.2748721342869773,0.16175011299481798,0.029636486370319598,0.07668854665068778,2.631844553567795
2013-06-03,0.08715246855119271,0.2504159073630786,0.25134119030406926,0.2791183702521122,0.23445276606811627,0.12504750253029975,0.3857415536021026,0.20426198289267175,0.26006505017483933,0.27487853905606846,0.15954696506352373,0.027389441754248015,0.073763110487303,2.613174848099625
2013-06-04,0.08822360251729187,0.25170219736741284,0.2610561914610401,0.28110551565553765,0.23531204000003594,0.1257156795614096,0.3767076290198112,0.2074934115158896,0.261322353836498,0.27344075687786584,0.1602979487532976,0.027105098882832173,0.0783620392306379,2.627844464679561
2013-06-05,0.0891248719895218,0.2670546028043793,0.2720576056008556,0.2808197736253787,0.2455521373015065,0.12646654593086962,0.3844469456545323,0.21878620662612236,0.2600658620194859,0.2830467213537335,0.15861671277366937,0.02799356635072163,0.0824997273934245,2.696531279424201
2013-06-06,0.08631000604550981,0.27114993839106716,0.27365904952116366,0.282510307220163,0.24510496467864523,0.12818242513303207,0.3798163744195459,0.22196793372037038,0.24654461890977056,0.2814132371693691,0.1599115267194198,0.02827774645390664,0.08437274089123525,2.689220869273199
2013-06-07,0.08931792927628349,0.2788392917284579,0.2787085265990753,0.2970347327673597,0.24235930973495678,0.12982128821785083,0.385156703597466,0.22859546978436981,0.2518287947189551,0.26569216715447697,0.16851864780606093,0.0299915253798696,0.08811498832473134,2.733979375089914
2013-06-10,0.09096427625141103,0.2799379633866675,0.2841151695201663,0.2945581796103432,0.23860976916378346,0.12987470131581297,0.3817068351847212,0.22837989936311728,0.2512901895770834,0.2661295915135835,0.16691489874255186,0.030053049824602957,0.08367925337471531,2.7262137768285597
