Date,GS_BETA,BAC_BETA,C_BETA,WFC_BETA,MS_BETA,AXP_BETA,BRK-B_BETA,V_BETA,MA_BETA,JPM_BETA,SUM_BETA
2013-05-28,0.31371147351207485,0.2132104045294586,0.2999097122461029,0.4359902203893494,0.22697695316565855,0.4085748388382234,0.5673017922798829,0.33143441222821063,0.4101210098736341,0.37963269734609306,3.5868635144086882
2013-05-29,0.30714794563707176,0.21008869861416402,0.29701418940704255,0.43237352500330306,0.2249956844706013,0.4127348494574152,0.5630039312481248,0.3341646384575821,0.4129762589387367,0.37950403655342524,3.574003757787467
2013-05-30,0.3129204307599086,0.2076492011948133,0.2988496026492911,0.4290964185201125,0.2238781694884092,0.41310925467824733,0.5540859556136749,0.33151000847598505,0.41360647341649803,0.3789647294889447,3.5636702442858845
2013-05-31,0.3206375426291549,0.21287965022401853,0.30738813644803387,0.44433362479948285,0.22429256436384118,0.42384607208427144,0.5643745242886286,0.3439432197861803,0.43966367434080067,0.38973563067676,3.6710946396411726
2013-06-03,0.32103457404593866,0.2103694936378189,0.30644696594630316,0.4442510021363617,0.22170790561351994,0.42639470693222176,0.5642063126214507,0.3477281128909206,0.4391129968357213,0.388251705343487,3.6695037760037437
2013-06-04,0.3225376646451324,0.22999816333583922,0.30975633655765306,0.44676973020390187,0.22286411563373215,0.42876712474610024,0.5700686514125936,0.35120010708939275,0.4653559934815004,0.3901070356454171,3.737424922751263
2013-06-05,0.3309795877097721,0.23726009035324958,0.3163345452744203,0.4639977340042126,0.2286619214958564,0.4388200532250574,0.579555972502218,0.3662009635743806,0.48617979089946056,0.398367591755973,3.8463582507946
2013-06-06,0.3329242533477474,0.2398959648027373,0.320158711143882,0.4638087135993668,0.23060672733385795,0.44094675640648384,0.5813608740516222,0.3692120970751443,0.48931341124510697,0.40080698624586303,3.869034495251812
2013-06-07,0.3317600537142675,0.24450978666676726,0.32413989779461083,0.47570167836461785,0.22767146044523345,0.44501114122799473,0.5897704499185403,0.3704988217353891,0.4939892726637587,0.4068008980048357,3.9098534605360156
2013-06-10,0.3311468175533453,0.2446775238027864,0.3243283306530771,0.4795194216638047,0.22887349944689067,0.4484207745551351,0.5896315760085683,0.36654546780164515,0.4941592492033374,0.409049880017662,3.916352540706252
2013-06-11,0.35993566547088485,0.2524878148120498,0.32194489229178347,0.4857243600423292,0.2306809926130787,0.4493364714030125,0.5939333590971065,0.3717764930398226,0.5002323880778972,0.41665098946899654,3.9827034263169616
2013-06-12,0.3632782777604157,0.2811872244492802,0.3439637995951474,0.492764239496534,0.23207008233662038,0.44469310424165476,0.5970912465352157,0.3749257921821684,0.5022371619632516,0.42559371499089754,4.057804643551186
2013-06-13,0.37714094087178884,0.288098335944838,0.34997254476342327,0.5048850163357799,0.26769980630979656,0.46293364932602954,0.6054755968959473,0.3862312486945325,0.5050427204650164,0.4333329938183585,4.180812853425511
2013-06-14,0.37688663712456855,0.2902064765412814,0.34908134935808843,0.4978859138765491,0.26987652495063924,0.44989858930110327,0.6066755623814438,0.38761653082353825,0.5088718230425965,0.4310810964793317,4.16808050387914
2013-06-17,0.3785085862569075,0.2917235643234242,0.34947602081200035,0.5008306401453306,0.27258602043244345,0.45571521354525685,0.6092938057347711,0.3892866317839045,0.5112936755573866,0.4343762516514139,4.1930904102428395
2013-06-18,0.37844918285063966,0.29334096373152857,0.3552264473523896,0.5039648685757148,0.27301243648252665,0.45735803066632547,0.6129660778771172,0.3911290403409504,0.5160136524414888,0.435567038761951,4.217027739080632
2013-06-19,0.38638436079614413,0.29624881663343183,0.3598655800191413,0.5122250518796391,0.27561194600319316,0.46558041588413185,0.6221573557230483,0.3969192196844236,0.517694208563238,0.4448458825438439,4.277532837730235
2013-06-20,0.40373054745200615,0.31366711290502414,0.3789616458942723,0.5382675179071738,0.29054153570797947,0.49112821752164604,0.6467887732561621,0.4287941472785831,0.5466429356874235,0.46867362801246903,4.507196061622739
2013-06-21,0.4056199819017382,0.30893821824358475,0.37057558640171123,0.5225112743791361,0.2890815406834367,0.4909907714162882,0.6454073332037599,0.42887099059566436,0.5470748932835233,0.4639269269402546,4.472997517049098
2013-06-24,0.4094003519198173,0.3123453922404807,0.37184903162879795,0.5157686281524453,0.29613602984608217,0.4952443541314746,0.6489149863253609,0.4339543036967722,0.5503195657117095,0.46813498636136747,4.5020676300143085
2013-06-25,0.4121183182565686,0.3120199656677194,0.36861326442008796,0.5186969739867752,0.2968916888117901,0.4987670089633174,0.6506016356513986,0.44723061402586056,0.5533529338161612,0.46631581453766924,4.524608218137348
2013-06-26,0.40453755398665137,0.3145451737525358,0.36893029766724533,0.5162996894636347,0.294587905901634,0.5000003128752768,0.6505633330796361,0.4486890781239906,0.5566157782286842,0.46671634972213577,4.521485472801424
2013-06-27,0.40095200720253027,0.30998736262595344,0.3658405198424112,0.5097605802405039,0.2924791106579207,0.4928304265333376,0.6484103165233234,0.4447759151024829,0.5516109971420343,0.46390437858568584,4.480551614456183
2013-06-28,0.39895948425970457,0.3118711796542947,0.3644110620522782,0.5095177297935778,0.2894573302314707,0.4934622618403604,0.6449901650054156,0.44327112776968103,0.5453729669714489,0.46583016113494147,4.467143468713173
2013-07-01,0.3997756266996382,0.31261657833025164,0.3650088892767375,0.509776305112321,0.28994170911374484,0.49428631716442806,0.6449577012372096,0.4442500937012265,0.543390389482422,0.4631762471815928,4.467179857299572
